,Reacher-v11_seed_0,Reacher-v12_seed_0,Reacher-v21_seed_0,Reacher-v22_seed_0,Reacher-v31_seed_0,Reacher-v32_seed_0,Reacher-v41_seed_0,Reacher-v42_seed_0,Reacher-v51_seed_0,Reacher-v52_seed_0,Reacher-v60_seed_0,Reacher-v61_seed_0,Reacher-v62_seed_0,Reacher-v11_seed_1,Reacher-v12_seed_1,Reacher-v21_seed_1,Reacher-v22_seed_1,Reacher-v31_seed_1,Reacher-v32_seed_1,Reacher-v41_seed_1,Reacher-v42_seed_1,Reacher-v51_seed_1,Reacher-v52_seed_1,Reacher-v60_seed_1,Reacher-v61_seed_1,Reacher-v62_seed_1,Reacher-v11_seed_2,Reacher-v12_seed_2,Reacher-v21_seed_2,Reacher-v22_seed_2,Reacher-v31_seed_2,Reacher-v32_seed_2,Reacher-v41_seed_2,Reacher-v42_seed_2,Reacher-v51_seed_2,Reacher-v52_seed_2,Reacher-v60_seed_2,Reacher-v61_seed_2,Reacher-v62_seed_2
468,-354.44608,-438.03305,-476.46112,-395.078,-457.19415,-486.95813,-445.6364,-460.25058,-492.7889,-472.34656,-521.806,-521.03925,-474.28558,-369.86987,-319.72882,-365.47824,-374.6884,-445.85284,-413.56665,-433.70944,-453.783,-458.9464,-439.63208,-471.02618,-463.85318,-487.9391,-543.0966,-493.57047,-418.0901,-471.0107,-467.42502,-541.337,-475.76544,-487.68835,-563.2337,-542.5828,-538.57153,-507.57004,-512.71326
469,-352.31744,-336.05405,-419.51984,-359.80423,-415.31143,-430.60394,-465.02228,-499.18268,-484.8488,-486.08948,-506.31323,-472.66083,-544.43365,-350.68433,-407.41583,-404.30255,-393.50912,-362.6584,-388.94778,-416.2651,-397.2943,-472.42953,-427.15222,-507.77588,-464.4588,-463.92883,-467.17807,-465.6258,-444.75873,-475.79324,-443.45648,-553.0516,-508.2657,-447.57904,-554.47766,-521.56866,-557.1364,-520.8152,-552.7665
470,-382.7433,-375.66016,-462.6178,-462.77884,-489.49802,-451.66696,-444.529,-438.55466,-442.57016,-475.92294,-565.39667,-459.57004,-493.94644,-402.00183,-354.92786,-436.07666,-390.2385,-379.2646,-426.98557,-360.18082,-444.69745,-423.49814,-420.81757,-443.6904,-471.58264,-446.88095,-442.14923,-351.74756,-483.8454,-465.27866,-478.36255,-513.4807,-439.44598,-504.06873,-527.2834,-549.72186,-582.0766,-535.1671,-527.16547
471,-424.5107,-337.05695,-438.01065,-411.97266,-438.73218,-484.36035,-477.86005,-488.0554,-500.33633,-475.69437,-490.331,-543.92944,-455.5225,-409.32288,-362.73257,-368.10364,-325.02664,-425.60648,-400.02203,-365.2899,-425.6255,-436.04712,-416.64844,-413.31476,-424.18976,-425.81482,-491.4081,-437.7048,-484.97037,-512.18756,-450.44553,-510.0979,-517.61664,-504.071,-552.0844,-486.4541,-545.88043,-532.69354,-541.88666
472,-421.91827,-355.44196,-378.85385,-421.52515,-435.54532,-466.21066,-458.2404,-477.23294,-463.60608,-469.32056,-510.52203,-465.24118,-512.7076,-344.40057,-336.18896,-368.26904,-416.771,-437.3758,-446.06125,-384.67953,-455.82202,-443.78064,-451.79376,-508.89362,-473.29315,-532.4186,-486.94012,-471.3976,-524.5744,-470.79935,-478.74585,-553.4054,-528.1568,-528.5606,-532.9274,-506.35315,-472.49445,-530.0511,-567.3147
473,-382.2874,-342.8335,-435.0001,-386.43958,-407.14703,-490.96384,-503.82843,-458.0168,-528.41766,-494.84592,-487.6998,-507.8252,-541.47894,-340.92212,-283.8574,-401.93427,-425.64178,-435.48163,-397.78815,-403.26804,-425.22375,-433.84656,-468.08136,-506.66388,-450.23907,-480.68103,-475.203,-449.556,-488.543,-516.3938,-482.30222,-518.1252,-560.7938,-525.43756,-508.53445,-561.8105,-556.44775,-596.5881,-639.1767
474,-434.94064,-348.67075,-365.9747,-481.73712,-411.10553,-448.69955,-432.48325,-530.87177,-463.75128,-490.57053,-475.13654,-465.43903,-508.77017,-397.74973,-300.84085,-405.54227,-433.00497,-387.86978,-431.19385,-449.43692,-370.63217,-447.07138,-440.51862,-469.75067,-485.86176,-430.13702,-428.56326,-405.90707,-482.08606,-475.77997,-450.7747,-501.87473,-495.70303,-534.9541,-571.9334,-510.5877,-516.4661,-500.1792,-580.69415
475,-379.11118,-411.91138,-384.87067,-417.4002,-421.55515,-468.43964,-474.04257,-473.83487,-500.29044,-502.57535,-455.03842,-424.96597,-493.76593,-347.7606,-350.24387,-388.89377,-377.4621,-393.90823,-437.46735,-398.2205,-430.91284,-444.89032,-443.43704,-413.7834,-418.8115,-471.41486,-469.71216,-409.77667,-436.2404,-493.9463,-457.95697,-538.92633,-498.80753,-532.1258,-539.2077,-526.39667,-507.77994,-517.4748,-553.6875
476,-426.32288,-338.27887,-394.51086,-392.04922,-439.77716,-454.24066,-480.69806,-455.38373,-479.23718,-459.13422,-487.82928,-457.39438,-490.95544,-375.64117,-364.54562,-404.0271,-358.80194,-388.32263,-420.84326,-474.60034,-398.3324,-432.83234,-454.99432,-465.73978,-440.50647,-505.79584,-446.88824,-406.58917,-466.5881,-430.1186,-479.72107,-515.09705,-554.8508,-519.4733,-540.6186,-563.0603,-593.9653,-517.667,-561.60736
477,-371.8486,-377.97992,-387.5377,-411.3577,-434.891,-480.5873,-479.3838,-455.35352,-473.81036,-495.01996,-460.18698,-478.43503,-552.66815,-334.04486,-331.89505,-350.28928,-408.10358,-355.40115,-384.48276,-416.71887,-457.39047,-442.93747,-431.1306,-416.48752,-445.31332,-493.9573,-492.6366,-430.89716,-452.32394,-443.13312,-504.3664,-535.5067,-474.89014,-473.38693,-578.21576,-557.81464,-513.3172,-490.28406,-558.1776
478,-449.62396,-369.59875,-427.44162,-463.4976,-465.80948,-434.2103,-473.55325,-453.9165,-468.52853,-474.92447,-473.3097,-454.11032,-474.41656,-331.9409,-325.51633,-348.6401,-390.567,-372.66153,-418.4419,-438.58505,-410.76514,-556.97253,-456.9727,-523.01465,-445.05994,-438.97366,-486.39188,-472.14432,-473.8958,-468.24838,-458.3276,-491.1791,-540.5506,-525.23193,-539.039,-525.8877,-572.25397,-516.9802,-544.9059
479,-374.3676,-417.23444,-424.42538,-424.198,-410.10052,-445.40863,-477.58737,-457.5099,-509.94135,-468.9402,-456.04724,-490.7597,-444.40704,-340.3497,-356.94974,-378.95923,-355.3278,-397.06058,-432.64807,-445.0369,-429.57825,-442.76123,-420.1704,-438.06778,-406.0722,-423.9363,-487.19513,-485.4096,-417.81235,-455.58017,-465.9062,-516.77374,-497.40976,-523.949,-513.58215,-496.01797,-610.6607,-585.4595,-615.86786
480,-375.4901,-353.247,-450.64932,-437.41223,-476.4548,-467.08966,-452.62253,-486.17755,-541.59283,-443.52335,-504.99487,-507.33743,-502.5109,-363.2775,-339.215,-415.09354,-351.00146,-414.70847,-408.67767,-390.1871,-484.96698,-440.96075,-426.21118,-426.31888,-479.64932,-443.27213,-474.25375,-367.60254,-470.19266,-469.2585,-506.9044,-493.10236,-507.37186,-515.2934,-505.79388,-539.15485,-562.76807,-502.77933,-520.686
481,-419.17682,-341.11542,-359.87634,-467.5447,-381.94098,-436.12875,-430.67264,-457.5124,-507.36032,-453.43448,-511.78018,-474.74573,-501.2997,-355.70203,-367.20654,-359.33148,-416.7123,-417.73972,-390.0971,-385.15424,-416.35913,-417.5137,-425.66528,-452.71417,-451.8398,-428.75726,-462.9161,-438.9598,-482.4176,-477.19492,-451.82355,-480.30374,-542.2178,-503.80112,-540.5676,-540.18506,-541.2063,-537.1975,-589.0228
482,-378.8921,-359.62006,-403.87686,-354.05347,-473.8963,-441.22696,-440.08337,-466.43268,-470.81284,-447.322,-524.516,-503.96497,-496.74136,-370.48993,-369.59784,-350.1935,-420.26105,-411.36502,-448.88477,-431.34628,-399.45367,-439.02795,-412.01413,-460.27365,-501.1782,-473.27612,-430.0184,-471.6654,-455.29248,-525.95197,-494.3952,-494.92178,-528.19604,-526.51825,-544.2677,-579.13,-597.3195,-528.3834,-562.6339
483,-370.322,-431.37997,-404.6891,-370.7485,-428.66605,-444.5625,-470.3386,-468.59167,-438.3234,-520.3684,-463.2784,-453.72266,-499.86923,-385.78833,-321.70688,-338.188,-382.62375,-378.10028,-405.43292,-415.8241,-421.7845,-493.9395,-427.7544,-469.71973,-465.70508,-431.03012,-478.0165,-372.87122,-472.7472,-476.97058,-521.97626,-470.6115,-585.6222,-531.95984,-573.8513,-529.30695,-553.91986,-573.7361,-565.50165
484,-370.48975,-394.87097,-405.84637,-404.53217,-424.02396,-456.13348,-447.29926,-505.00125,-473.16837,-485.51144,-456.53497,-453.4461,-513.62775,-401.4394,-339.67792,-403.3539,-433.63297,-415.2289,-427.93304,-420.22342,-437.01566,-518.35626,-454.9348,-479.8061,-444.21832,-517.5989,-517.06384,-437.69296,-466.78973,-418.3753,-474.95633,-494.10797,-467.72293,-495.27228,-511.98587,-563.45807,-503.3345,-502.561,-496.70862
