,Reacher-v10_seed_0,Reacher-v20_seed_0,Reacher-v30_seed_0,Reacher-v40_seed_0,Reacher-v50_seed_0,Reacher-v10_seed_1,Reacher-v20_seed_1,Reacher-v30_seed_1,Reacher-v40_seed_1,Reacher-v50_seed_1,Reacher-v10_seed_2,Reacher-v20_seed_2,Reacher-v30_seed_2,Reacher-v40_seed_2,Reacher-v50_seed_2
32,-227.18907,-220.77962,-256.46744,-284.46506,-314.6293,-172.4472,-252.89966,-296.23755,-285.9225,-309.1027,-237.0596,-262.78473,-298.02155,-300.99362,-309.68753
33,-182.2915,-249.04495,-299.38754,-283.3298,-286.23016,-193.34782,-225.45508,-297.9733,-299.76993,-340.0102,-190.4834,-276.4955,-275.43665,-307.96686,-282.13147
34,-201.33719,-253.08989,-293.5894,-299.4979,-289.28848,-193.62924,-249.22983,-272.6838,-327.36066,-321.15045,-194.46454,-260.97653,-327.10132,-309.01318,-283.14532
35,-188.5304,-243.42235,-273.99057,-299.48065,-285.28833,-193.92712,-281.94345,-318.80618,-305.43,-320.81213,-201.00786,-228.50566,-256.39398,-305.92288,-289.47318
36,-195.76042,-235.49594,-297.12238,-300.2187,-299.5201,-188.32468,-271.88147,-343.60864,-290.47806,-339.11792,-205.25371,-220.17497,-297.7422,-319.03754,-354.53055
37,-183.58492,-217.32141,-313.19037,-371.77954,-299.71042,-175.00784,-251.35883,-271.92685,-322.47946,-291.03842,-206.5991,-239.42888,-286.14804,-296.22476,-368.91788
38,-181.48549,-278.1228,-256.27023,-276.95496,-305.33066,-195.55424,-236.79253,-293.59247,-337.0264,-296.38416,-184.48528,-245.13649,-287.77478,-261.91608,-291.437
39,-183.1324,-226.75977,-318.43878,-321.64178,-297.30264,-172.71866,-210.2123,-286.75037,-317.39627,-283.22604,-174.83217,-251.50665,-338.08655,-281.28525,-295.72675
40,-180.37953,-208.37213,-302.03033,-367.971,-332.21143,-184.81306,-244.70274,-246.56317,-270.63324,-279.79056,-213.14752,-249.76117,-275.20093,-306.12515,-313.56723
41,-199.22003,-227.982,-279.06552,-330.8668,-350.54456,-196.89925,-233.6659,-251.68982,-272.68338,-258.00784,-188.96376,-275.95502,-244.39088,-270.1231,-335.61517
42,-196.37852,-236.80324,-260.06586,-268.05133,-373.42856,-176.86717,-217.39313,-275.73615,-274.20187,-289.24146,-191.86813,-260.81656,-360.4913,-347.9788,-336.23648
43,-191.71881,-214.32906,-224.89012,-259.33124,-266.75937,-195.70961,-210.0585,-321.47607,-307.15082,-284.6114,-187.6908,-233.7025,-322.47855,-293.29446,-301.21204
44,-184.93651,-218.1448,-235.94803,-302.8731,-274.64612,-169.37271,-194.65976,-244.41731,-257.61945,-279.4616,-218.75154,-198.60046,-337.2959,-275.82602,-334.7436
45,-194.43445,-206.72699,-259.84903,-259.15387,-308.44492,-185.37547,-198.55455,-262.12033,-322.61264,-336.41434,-169.0028,-258.06195,-308.16388,-337.05392,-372.81207
46,-186.91055,-210.39038,-261.2045,-303.5488,-331.86734,-163.81961,-263.02383,-236.65251,-267.88742,-268.48312,-173.60231,-223.79674,-223.48894,-327.72958,-345.80414
47,-186.87668,-212.01173,-289.08713,-285.26425,-294.17453,-174.36783,-212.64993,-313.9968,-330.12347,-291.05618,-173.54016,-189.07547,-274.19138,-323.70422,-346.86337
48,-192.18475,-200.72673,-198.24174,-259.27692,-285.5153,-158.9227,-228.93071,-266.32843,-276.3101,-305.88013,-185.67426,-210.10582,-284.93683,-307.06686,-298.22125
49,-183.70868,-261.21207,-272.78802,-270.05313,-276.85947,-152.39108,-211.7208,-255.69931,-246.31017,-275.03378,-187.67961,-235.38477,-223.75613,-263.08105,-308.8725
50,-164.21474,-233.6104,-299.0226,-260.82718,-300.84982,-183.28271,-214.66824,-264.22763,-252.45929,-310.8026,-198.5627,-231.22722,-225.19002,-283.59396,-274.99625
51,-160.24237,-206.19203,-243.35149,-303.31613,-271.14355,-176.2504,-198.85213,-226.48154,-285.70486,-302.1692,-183.97362,-215.50774,-229.60196,-270.7494,-265.90176
52,-171.5695,-219.72173,-250.0356,-304.40756,-264.93665,-151.8212,-226.10461,-283.71408,-285.072,-283.31436,-213.48914,-194.95015,-295.79126,-281.30026,-314.58524
53,-177.84738,-199.08893,-281.13898,-244.40915,-308.94025,-170.91925,-212.15291,-261.73904,-285.35617,-303.95267,-169.43921,-209.78348,-269.54196,-370.14536,-262.31393
54,-158.35558,-177.86978,-250.00395,-251.26569,-271.55585,-173.12814,-180.13164,-242.12079,-249.98712,-280.46585,-153.12129,-191.67491,-245.90192,-343.01138,-249.02719
55,-169.04933,-174.96008,-213.20178,-310.17902,-325.15323,-162.07391,-199.21632,-249.97243,-245.39525,-273.4331,-154.32237,-192.74677,-244.3413,-313.37576,-346.30237
56,-156.53923,-220.44264,-239.36557,-221.26192,-269.8931,-133.94737,-201.6718,-256.88773,-283.74722,-261.85968,-154.66222,-280.73206,-237.37495,-278.67526,-282.1418
57,-163.80916,-228.65974,-257.1214,-250.60301,-256.08972,-162.15448,-206.39717,-270.5592,-296.1333,-272.5177,-164.03616,-188.18742,-317.55273,-246.28282,-276.34586
58,-150.62582,-184.621,-301.23782,-275.94806,-289.24207,-148.89226,-179.1687,-252.86264,-370.0464,-265.71497,-168.10567,-200.90793,-309.8141,-327.51996,-249.38353
59,-178.2675,-171.37526,-287.88046,-268.94882,-312.7679,-129.25148,-236.70323,-219.6265,-279.9624,-235.75974,-167.11426,-266.09894,-204.7106,-267.84863,-274.37268
60,-166.27246,-195.21179,-229.62181,-237.10854,-269.6676,-135.82379,-193.59279,-258.29236,-280.51868,-285.11765,-170.5521,-190.79158,-200.02141,-263.85855,-271.39908
